sim_year,county_id,total_number_of_households
2011,8001,171524
2011,8005,233985
2011,8013,122847
2011,8014,19430
2011,8019,4945
2011,8031,267270
2011,8035,107236
2011,8039,6685
2011,8047,2404
2011,8059,222878
2011,8123,24922
2012,8001,177222
2012,8005,239099
2012,8013,124977
2012,8014,19584
2012,8019,5254
2012,8031,269925
2012,8035,110933
2012,8039,6899
2012,8047,2992
2012,8059,224022
2012,8123,26878
2013,8001,182168
2013,8005,244463
2013,8013,127677
2013,8014,19877
2013,8019,5346
2013,8031,273396
2013,8035,114149
2013,8039,6938
2013,8047,3220
2013,8059,225719
2013,8123,27690
2014,8001,186500
2014,8005,249820
2014,8013,129881
2014,8014,20285
2014,8019,5400
2014,8031,277349
2014,8035,117958
2014,8039,6967
2014,8047,3235
2014,8059,227876
2014,8123,28693
2015,8001,190632
2015,8005,255281
2015,8013,132183
2015,8014,20728
2015,8019,5500
2015,8031,281546
2015,8035,121965
2015,8039,7015
2015,8047,3276
2015,8059,230224
2015,8123,29847
2016,8001,194275
2016,8005,260513
2016,8013,134767
2016,8014,21264
2016,8019,5676
2016,8031,285807
2016,8035,125941
2016,8039,7051
2016,8047,3340
2016,8059,232892
2016,8123,30986
2017,8001,197615
2017,8005,265599
2017,8013,137343
2017,8014,21857
2017,8019,5818
2017,8031,290688
2017,8035,130131
2017,8039,7117
2017,8047,3392
2017,8059,235564
2017,8123,32246
2018,8001,200943
2018,8005,270519
2018,8013,140000
2018,8014,22425
2018,8019,5952
2018,8031,295465
2018,8035,134142
2018,8039,7164
2018,8047,3470
2018,8059,238713
2018,8123,33572
2019,8001,204598
2019,8005,275010
2019,8013,142856
2019,8014,23038
2019,8019,6127
2019,8031,300357
2019,8035,138036
2019,8039,7273
2019,8047,3548
2019,8059,241735
2019,8123,34862
2020,8001,208262
2020,8005,280061
2020,8013,145088
2020,8014,23678
2020,8019,6300
2020,8031,305806
2020,8035,141409
2020,8039,7344
2020,8047,3606
2020,8059,245023
2020,8123,35858
2021,8001,212092
2021,8005,285319
2021,8013,147219
2021,8014,24153
2021,8019,6458
2021,8031,310915
2021,8035,143918
2021,8039,7419
2021,8047,3666
2021,8059,247713
2021,8123,36435
2022,8001,216849
2022,8005,290558
2022,8013,149320
2022,8014,24626
2022,8019,6599
2022,8031,315979
2022,8035,146092
2022,8039,7450
2022,8047,3700
2022,8059,250218
2022,8123,36775
2023,8001,222123
2023,8005,296180
2023,8013,151185
2023,8014,25050
2023,8019,6646
2023,8031,320448
2023,8035,148227
2023,8039,7516
2023,8047,3743
2023,8059,252908
2023,8123,36993
2024,8001,227450
2024,8005,301607
2024,8013,152865
2024,8014,25438
2024,8019,6686
2024,8031,325405
2024,8035,150338
2024,8039,7516
2024,8047,3748
2024,8059,255619
2024,8123,37169
2025,8001,233157
2025,8005,307390
2025,8013,154593
2025,8014,25802
2025,8019,6757
2025,8031,329612
2025,8035,152308
2025,8039,7551
2025,8047,3748
2025,8059,258268
2025,8123,37489
2026,8001,238102
2026,8005,312407
2026,8013,156092
2026,8014,26144
2026,8019,6782
2026,8031,333489
2026,8035,154308
2026,8039,7550
2026,8047,3764
2026,8059,260647
2026,8123,37740
2027,8001,243022
2027,8005,317613
2027,8013,157630
2027,8014,26406
2027,8019,6811
2027,8031,337272
2027,8035,156348
2027,8039,7592
2027,8047,3782
2027,8059,263005
2027,8123,37924
2028,8001,248020
2028,8005,322611
2028,8013,159328
2028,8014,26824
2028,8019,6884
2028,8031,341018
2028,8035,158216
2028,8039,7602
2028,8047,3781
2028,8059,265211
2028,8123,38184
2029,8001,253086
2029,8005,327423
2029,8013,160890
2029,8014,27145
2029,8019,6920
2029,8031,344732
2029,8035,160163
2029,8039,7637
2029,8047,3811
2029,8059,267761
2029,8123,38464
2030,8001,258235
2030,8005,332475
2030,8013,162490
2030,8014,27431
2030,8019,6940
2030,8031,348218
2030,8035,162194
2030,8039,7658
2030,8047,3810
2030,8059,270230
2030,8123,38689
2031,8001,262542
2031,8005,336616
2031,8013,163888
2031,8014,27599
2031,8019,6957
2031,8031,351054
2031,8035,163854
2031,8039,7670
2031,8047,3816
2031,8059,272258
2031,8123,38820
2032,8001,267102
2032,8005,340678
2032,8013,165115
2032,8014,27837
2032,8019,6990
2032,8031,353671
2032,8035,165439
2032,8039,7682
2032,8047,3828
2032,8059,274322
2032,8123,39079
2033,8001,271403
2033,8005,344942
2033,8013,166422
2033,8014,27992
2033,8019,7029
2033,8031,356452
2033,8035,167267
2033,8039,7707
2033,8047,3844
2033,8059,276072
2033,8123,39241
2034,8001,275821
2034,8005,349164
2034,8013,167753
2034,8014,28201
2034,8019,7100
2034,8031,359056
2034,8035,168910
2034,8039,7708
2034,8047,3851
2034,8059,277919
2034,8123,39540
2035,8001,279935
2035,8005,353113
2035,8013,168951
2035,8014,28404
2035,8019,7159
2035,8031,362164
2035,8035,170603
2035,8039,7730
2035,8047,3864
2035,8059,279941
2035,8123,39790
2036,8001,283771
2036,8005,356624
2036,8013,170002
2036,8014,28563
2036,8019,7173
2036,8031,364346
2036,8035,172195
2036,8039,7759
2036,8047,3873
2036,8059,281267
2036,8123,39964
2037,8001,287354
2037,8005,359880
2037,8013,170935
2037,8014,28842
2037,8019,7187
2037,8031,366753
2037,8035,173816
2037,8039,7769
2037,8047,3872
2037,8059,282850
2037,8123,40205
2038,8001,291356
2038,8005,363181
2038,8013,171989
2038,8014,29012
2038,8019,7219
2038,8031,368913
2038,8035,175313
2038,8039,7793
2038,8047,3877
2038,8059,284317
2038,8123,40312
2039,8001,295055
2039,8005,366589
2039,8013,172902
2039,8014,29202
2039,8019,7257
2039,8031,371193
2039,8035,176940
2039,8039,7828
2039,8047,3894
2039,8059,285740
2039,8123,40465
2040,8001,298886
2040,8005,369866
2040,8013,173817
2040,8014,29348
2040,8019,7265
2040,8031,373599
2040,8035,178529
2040,8039,7822
2040,8047,3892
2040,8059,287409
2040,8123,40634
